,id,link,gia_tien,RAM,ROM,CPU,Man_hinh,camera_sau,camera_truoc,kich_thuoc,radio,thoi_diem ra mat,rating,ghi_am
121,218361,https://www.dienmayxanh.com/dien-thoai/realme-c3,2.990.000₫ ,3 GB,32 GB,MediaTek Helio G70 8 nhân,IPS LCD,"Chính 12 MP & Phụ 2 MP, 2 MP",5 MP,Dài 164.4 mm - Ngang 75 mm - Dày 8.95 mm,Có,02/2020,3.615819209039548,Có
122,220092,https://www.dienmayxanh.com/dien-thoai/oppo-a12,2.990.000₫ ,3 GB,32 GB,MediaTek Helio P35 8 nhân,IPS LCD,Chính 13 MP & Phụ 2 MP,5 MP,Dài 155.9 mm - Ngang 75.5 mm - Dày 8.3 mm,Có,04/2020,3.09375,Có
123,226321,https://www.dienmayxanh.com/dien-thoai/xiaomi-redmi-9c-3gb,2.990.000₫ ,3 GB,64 GB,MediaTek Helio G35 8 nhân,IPS LCD,"Chính 13 MP & Phụ 2 MP, 2 MP",5 MP,Dài 164.9 mm - Ngang 77.07 mm - Dày 9.0 mm,Có,07/2020,3.764705882352941,Có
124,212357,https://www.dienmayxanh.com/dien-thoai/vivo-y11,2.990.000₫ ,3 GB,32 GB,Snapdragon 439 8 nhân,IPS LCD,Chính 13 MP & Phụ 2 MP,8 MP,Dài 159.43 mm - Rộng 76.77 mm - Dày 8.92 mm,Có,10/2019,4.412844036697248,Có
125,219477,https://www.dienmayxanh.com/dien-thoai/nokia-53,2.990.000₫ ,3 GB,64 GB,Snapdragon 665 8 nhân,IPS LCD,"Chính 13 MP & Phụ 5 MP, 2 MP, 2 MP",8 MP,Dài 164.28 mm - Ngang 76.62 mm - Dày 8.5 mm,Có,05/2020,3.6455696202531644,
126,214908,https://www.dienmayxanh.com/dien-thoai/samsung-galaxy-a01,2.050.000₫ ,2 GB,16 GB,Snapdragon 439 8 nhân,PLS TFT LCD,Chính 13 MP & Phụ 2 MP,5 MP,Dài 146.2 mm - Ngang 70.9 mm - Dày 8.3 mm,Có,01/2020,3.0476190476190474,Có
127,225851,https://www.dienmayxanh.com/dien-thoai/vivo-y1s,2.490.000₫,2 GB,32 GB,MediaTek Helio P35 8 nhân,IPS LCD,13 MP,5 MP,Dài 155.11 mm - Ngang 75.09 mm - Dày 8.28 mm,Có,07/2020,4.5,Có
128,224967,https://www.dienmayxanh.com/dien-thoai/realme-c11,2.490.000₫,2 GB,32 GB,MediaTek Helio G35 8 nhân,IPS LCD,Chính 13 MP & Phụ 2 MP,5 MP,Dài 164.4 mm - Ngang 75.9 mm - Dày 9.1 mm,Có,07/2020,2.4878048780487805,Có
129,217920,https://www.dienmayxanh.com/dien-thoai/vsmart-joy-3,2.490.000₫,3 GB,32 GB,Snapdragon 632 8 nhân,IPS LCD,"Chính 13 MP & Phụ 8 MP, 2 MP",8 MP,Dài 165.13 mm - Ngang 76.4 mm - Dày 9.19 mm,Có,02/2020,3.49718574108818,Có (microphone chuyên dụng chống ồn)
130,226218,https://www.dienmayxanh.com/dien-thoai/nokia-24,2.490.000₫,2 GB,32 GB,MediaTek MT6762 8 nhân (Helio P22),TFT LCD,Chính 13 MP & Phụ 2 MP,5 MP,Dài 165.85 mm - Ngang 76.30 mm - Dày 8.69 mm,Có,10/2020,3.7142857142857144,
131,225158,https://www.dienmayxanh.com/dien-thoai/vsmart-star-4-3gb,2.490.000₫ ,3 GB,32 GB,MediaTek Helio P35 8 nhân,IPS LCD,Chính 8 MP & Phụ 5 MP,8 MP,Dài 156.24 mm - Ngang 74 mm - Dày 8.8 mm,Có,07/2020,3.5555555555555554,Có
132,223814,https://www.dienmayxanh.com/dien-thoai/xiaomi-redmi-9c,2.490.000₫ ,2 GB,32 GB,MediaTek Helio G35 8 nhân,IPS LCD,"Chính 13 MP & Phụ 2 MP, 2 MP",5 MP,Dài 164.9 mm - Ngang 77.07 mm - Dày 9.0 mm,Có,07/2020,3.4545454545454546,Có
133,224949,https://www.dienmayxanh.com/dien-thoai/vsmart-star-4,2.490.000₫ ,2 GB,32 GB,MediaTek Helio P35 8 nhân,IPS LCD,Chính 8 MP & Phụ 5 MP,8 MP,Dài 156.24 mm - Ngang 74 mm - Dày 8.8 mm,Có,07/2020,3.0,Có
134,226357,https://www.dienmayxanh.com/dien-thoai/vsmart-star-4-16gb,1.790.000₫ ,2 GB,16 GB,MediaTek Helio P35 8 nhân,IPS LCD,Chính 8 MP & Phụ 5 MP,8 MP,Dài 156.24 mm - Ngang 74 mm - Dày 8.8 mm,Có,07/2020,4.571428571428571,Có
135,218734,https://www.dienmayxanh.com/dien-thoai/xiaomi-redmi-9a,1.590.000₫,2 GB,32 GB,MediaTek Helio G25 8 nhân,IPS LCD,13 MP,5 MP,Dài 164.9 mm - Ngang 77.07 mm - Dày 9 mm,Có,07/2020,4.317460317460317,Có
136,210476,https://www.dienmayxanh.com/dien-thoai/itel-s15-pro,2.290.000₫ ,2 GB,32 GB,CPU 8 nhân,IPS LCD,"Chính 8 MP & Phụ VGA, VGA",16 MP,Dài 156.7 mm - Ngang 74.7 mm - Dày 8.9 mm,Có,09/2019,3.8518518518518516,Có
137,230812,https://www.dienmayxanh.com/dien-thoai/nokia-8000-4g,1.690.000₫ ,512 MB,4 GB,Snapdragon 210 4 nhân,TFT LCD,2 MP,,Dài 132.2 mm - Ngang 56.5 mm - Dày 12.3 mm,Có,11/2020,3.1666666666666665,Có
138,219799,https://www.dienmayxanh.com/dien-thoai/nokia-c2,1.590.000₫ ,1 GB,16 GB,Spreadtrum SC9832E 4 nhân,IPS LCD,5 MP,5 MP,Dài 154.8 mm - Ngang 75.59 mm - Dày 8.85 mm,Có,04/2020,4.7,
139,216800,https://www.dienmayxanh.com/dien-thoai/vsmart-bee-3,1.690.000₫ ,2 GB,16 GB,MediaTek MT6739WW 4 nhân,IPS LCD,8 MP,5 MP,Dài 163.6 mm - Ngang 77.2 mm - Dày 9.1 mm,Có,12/2019,3.471264367816092,Có
140,230813,https://www.dienmayxanh.com/dien-thoai/nokia-6300-4g,990.000₫ ,512 MB,4 GB,Snapdragon 210 4 nhân,TFT LCD,VGA (480 x 640 pixels),,Dài 131.4 mm - Ngang 53 mm - Dày 13.7 mm,Có,11/2020,2.4285714285714284,Có
141,101850,https://www.dienmayxanh.com/dien-thoai/nokia-230-khong-the,1.000.000₫ ,,,,TFT LCD,2 MP,2 MP,Dài 124.6 mm - Ngang 53.4 mm - Dày 10.9 mm,Có,5/2017,4.436781609195402,Có
142,225154,https://www.dienmayxanh.com/dien-thoai/masstel-hapi-10-fami,1.290.000₫ ,2 GB,16 GB,MediaTek MT6739 4 nhân,IPS LCD,5 MP,5 MP,Dài 143 mm - Ngang 71.5 mm - Dày 8.9 mm,Có,06/2020,5.0,Có
143,220204,https://www.dienmayxanh.com/dien-thoai/nokia-5310-2020,1.250.000₫ ,,,,TFT LCD,VGA (480 x 640 pixels),,Dài 123.7 mm - Ngang 52.4 mm - Dày 13.1 mm,Có,03/2020,3.1025641025641026,
144,212228,https://www.dienmayxanh.com/dien-thoai/masstel-x5-fami,790.000₫,1 GB,8 GB,Spreadtrum SC7731E 4 nhân,IPS LCD,8 MP,5 MP,Dài 148 mm - Ngang 71 mm - Dày 8.8 mm,Có,08/2019,5.0,Có
145,206083,https://www.dienmayxanh.com/dien-thoai/itel-alpha-lite,990.000₫ ,1 GB,8 GB,Spreadtrum SC7731E 4 nhân,TFT LCD,5 MP,2 MP,Dài 145 mm - Ngang 73.9 mm - Dày 9.75 mm,Có,07/2019,4.090909090909091,Có
146,228515,https://www.dienmayxanh.com/dien-thoai/mobell-p41,790.000₫,1 GB,8 GB,MediaTek MT6580A 4 nhân,IPS LCD,5 MP,2 MP,Dài 152.5 mm - Ngang 71 mm - Dày 10.4 mm,Có,09/2020,4.142857142857143,Có
147,227009,https://www.dienmayxanh.com/dien-thoai/energizer-e241s,790.000₫ ,,4 GB,,TFT LCD,QVGA (320 x 240 pixels),VGA (0.3 MP),Dài 125.3 mm - Ngang 54 mm - Dày 14.5 mm,Có,08/2020,3.0526315789473686,
148,232657,https://www.dienmayxanh.com/dien-thoai/itel-it9200,790.000₫ ,512 MB,4 GB,Spreadtrum SC9820E 2 nhân,TFT LCD,0.3 MP,VGA (0.3 MP),Dài 129 mm - Ngang 56 mm - Dày 15 mm,Có,12/2020,0.0,
149,200041,https://www.dienmayxanh.com/dien-thoai/nokia-210,790.000₫ ,,,,TFT LCD,0.3 MP,,Dài 120.8 mm - Ngang 53.5 mm - Dày 13.8 mm,Có,03/2019,3.861111111111111,
150,228366,https://www.dienmayxanh.com/dien-thoai/nokia-215,790.000₫ ,,,,TFT LCD,,,Dài 124.7 mm - Ngang 51.0 - Dày 13.7 mm,Có,11/2020,4.0,
151,223115,https://www.dienmayxanh.com/dien-thoai/nokia-150-2020,480.000₫ ,,,,TFT LCD,VGA (480 x 640 pixels),,Dài 132 mm - Rộng 50.5 mm - Dày 15 mm,Có,05/2020,3.5454545454545454,
152,227008,https://www.dienmayxanh.com/dien-thoai/energizer-e20,590.000₫ ,,,,TFT LCD,0.3 MP,,Dài 102.5 mm - Ngang 51.5 mm - Dày 17.8 mm,Có,08/2020,3.75,
153,195136,https://www.dienmayxanh.com/dien-thoai/mobell-s41,590.000₫ ,1 GB,8 GB,MediaTek MT6580M 4 nhân,LCD,5 MP,2 MP,Dài 144.2 mm - Ngang 73.6 mm - Dày 10.1 mm,Có,11/2018,3.9375,Có
154,227007,https://www.dienmayxanh.com/dien-thoai/energizer-p20,650.000₫ ,,,,TFT LCD,0.3 MP,,Dài 136.5 mm - Ngang 55 mm - Dày 17.5 mm,Có,08/2020,3.0,
155,220171,https://www.dienmayxanh.com/dien-thoai/masstel-fami-p20,590.000₫ ,,,,TFT LCD,0.08 MP,,Dài 122 mm - Ngang 57 mm - Dày 15.3 mm,Có,04/2020,1.0,
156,232370,https://www.dienmayxanh.com/dien-thoai/masstel-play-50,490.000₫ ,,,,TFT LCD,0.08 MP,,Dài 130 mm - Ngang 61 mm - Dày 22 mm,FM không cần tai nghe,12/2020,0.0,Có
157,112837,https://www.dienmayxanh.com/dien-thoai/mobell-rock-3,480.000₫ ,,,,TFT LCD,0.08 MP,,Dài 135 mm - Ngang 64 mm - Dày 28.5 mm,Có,8/2017,4.292929292929293,Có
158,227006,https://www.dienmayxanh.com/dien-thoai/energizer-e100,500.000₫ ,,,,TFT LCD,0.3 MP,,Dài 129 mm - Ngang 63 mm - Dày 15 mm,Có,08/2020,4.5,
159,209788,https://www.dienmayxanh.com/dien-thoai/nokia-110-2019,490.000₫ ,,,,TFT LCD,QVGA (320 x 240 pixels),,Dài 115.2 mm - Ngang 49.9 mm - Dày 14.3 mm,Có,10/2019,3.1904761904761907,
160,142346,https://www.dienmayxanh.com/dien-thoai/mobell-m529,450.000₫ ,,,,TFT LCD,VGA (480 x 640 pixels),,Dài 131.5 mm - Ngang 55.9 mm - Dày 11.9 mm,Có,12/2017,4.486486486486487,
161,196890,https://www.dienmayxanh.com/dien-thoai/mobell-m729,450.000₫ ,,,,TFT LCD,0.3 MP,,Dài 104.4 mm - Ngang 51.5 mm - Dày 16.2 mm,Có,12/2018,3.5454545454545454,Có
162,212227,https://www.dienmayxanh.com/dien-thoai/masstel-izi-300,390.000₫ ,,,,TFT LCD,0.08 MP,,Dài 127 mm - Ngang 53 mm - Dày 14.5 mm,Có,10/2019,4.153846153846154,Có
